,feature_comb,r2,mae,mpea,timecost,epochs,learning_rate,y_test_predict
42,"['date', 'CHN10', 'USDI', 'SHI', 'CPI', 'GKBOND']",0.9817,0.038,0.012,23.7562,10000,0.1,"[[3.3726656]
 [3.3658175]
 [3.3872395]
 ...
 [2.734059 ]
 [2.7232914]
 [2.724101 ]]"
43,"['date', 'CHN10', 'USDI', 'SHI', 'CPI', 'GKBOND']",0.9774,0.0392,0.0126,23.103,10000,0.01,"[[3.3893933]
 [3.3835292]
 [3.4084744]
 ...
 [2.6204703]
 [2.6199872]
 [2.618257 ]]"
44,"['date', 'CHN10', 'USDI', 'SHI', 'CPI', 'GKBOND']",0.9858,0.0332,0.0104,23.2056,10000,0.001,"[[3.396403 ]
 [3.382317 ]
 [3.4016368]
 ...
 [2.7588875]
 [2.7314389]
 [2.740139 ]]"
45,"['date', 'CHN10', 'USDI', 'GOVBOND', 'SHI', 'CPI', 'M1', 'GKBOND', 'MID']",0.1253,0.2321,0.0752,0.2485,100,0.1,"[[3.499445 ]
 [3.5391586]
 [3.540479 ]
 ...
 [2.733958 ]
 [2.734965 ]
 [2.7335274]]"
46,"['date', 'CHN10', 'USDI', 'GOVBOND', 'SHI', 'CPI', 'M1', 'GKBOND', 'MID']",0.9054,0.0836,0.027,0.2501,100,0.01,"[[3.3741436]
 [3.4668562]
 [3.4964867]
 ...
 [2.8673503]
 [2.8673503]
 [2.8673503]]"
47,"['date', 'CHN10', 'USDI', 'GOVBOND', 'SHI', 'CPI', 'M1', 'GKBOND', 'MID']",-8.3185,1.0247,0.3094,0.2473,100,0.001,"[[2.202143 ]
 [2.202143 ]
 [2.202143 ]
 ...
 [2.200233 ]
 [2.2001843]
 [2.2002025]]"
48,"['date', 'CHN10', 'USDI', 'GOVBOND', 'SHI', 'CPI', 'M1', 'GKBOND', 'MID']",-0.0804,0.3175,0.1019,2.3721,1000,0.1,"[[3.3265252]
 [3.3227992]
 [3.326172 ]
 ...
 [3.3265252]
 [3.3265252]
 [3.3265252]]"
49,"['date', 'CHN10', 'USDI', 'GOVBOND', 'SHI', 'CPI', 'M1', 'GKBOND', 'MID']",0.9748,0.0373,0.0124,2.2894,1000,0.01,"[[3.393276 ]
 [3.3797877]
 [3.3976321]
 ...
 [2.7784207]
 [2.7784207]
 [2.7784207]]"
50,"['date', 'CHN10', 'USDI', 'GOVBOND', 'SHI', 'CPI', 'M1', 'GKBOND', 'MID']",0.9381,0.0643,0.0209,2.3868,1000,0.001,"[[3.417395 ]
 [3.4267874]
 [3.4505465]
 ...
 [2.855611 ]
 [2.849044 ]
 [2.8563612]]"
51,"['date', 'CHN10', 'USDI', 'GOVBOND', 'SHI', 'CPI', 'M1', 'GKBOND', 'MID']",0.9089,0.0664,0.0223,23.6634,10000,0.1,"[[3.396453 ]
 [3.393107 ]
 [3.4211714]
 ...
 [3.045361 ]
 [3.0373194]
 [3.04037  ]]"
52,"['date', 'CHN10', 'USDI', 'GOVBOND', 'SHI', 'CPI', 'M1', 'GKBOND', 'MID']",0.9655,0.0407,0.0133,23.5279,10000,0.01,"[[3.3961165]
 [3.39588  ]
 [3.416186 ]
 ...
 [2.8399363]
 [2.8158643]
 [2.8312123]]"
53,"['date', 'CHN10', 'USDI', 'GOVBOND', 'SHI', 'CPI', 'M1', 'GKBOND', 'MID']",0.9694,0.0365,0.0121,24.0209,10000,0.001,"[[3.3719037]
 [3.3811967]
 [3.4022324]
 ...
 [2.5252967]
 [2.5131912]
 [2.5210714]]"
54,"['date', 'CHN10', 'SHERONG', 'GOVBOND', 'SHI', 'CPI', 'GKBOND', 'GOLD']",0.8249,0.115,0.0353,0.2569,100,0.1,"[[3.5548928]
 [3.5548928]
 [3.5548928]
 ...
 [2.6981943]
 [2.6039793]
 [2.7204196]]"
55,"['date', 'CHN10', 'SHERONG', 'GOVBOND', 'SHI', 'CPI', 'GKBOND', 'GOLD']",0.7124,0.152,0.0502,0.2482,100,0.01,"[[3.3607085]
 [3.4396336]
 [3.4677017]
 ...
 [3.07238  ]
 [3.07238  ]
 [3.0710084]]"
56,"['date', 'CHN10', 'SHERONG', 'GOVBOND', 'SHI', 'CPI', 'GKBOND', 'GOLD']",-6.8615,0.9742,0.3001,0.2561,100,0.001,"[[2.5464962]
 [2.3115675]
 [2.2681384]
 ...
 [2.057683 ]
 [2.0581956]
 [2.0574253]]"
57,"['date', 'CHN10', 'SHERONG', 'GOVBOND', 'SHI', 'CPI', 'GKBOND', 'GOLD']",0.9711,0.0438,0.0142,2.4239,1000,0.1,"[[3.365765 ]
 [3.369269 ]
 [3.3951316]
 ...
 [2.8910222]
 [2.8819518]
 [2.8797307]]"
58,"['date', 'CHN10', 'SHERONG', 'GOVBOND', 'SHI', 'CPI', 'GKBOND', 'GOLD']",0.9682,0.0438,0.0142,2.3617,1000,0.01,"[[3.3703754]
 [3.3755107]
 [3.4017844]
 ...
 [2.8400483]
 [2.7881246]
 [2.8083549]]"
59,"['date', 'CHN10', 'SHERONG', 'GOVBOND', 'SHI', 'CPI', 'GKBOND', 'GOLD']",0.6236,0.1833,0.0584,2.4483,1000,0.001,"[[3.348983 ]
 [3.3520315]
 [3.357907 ]
 ...
 [3.1537247]
 [3.1421785]
 [3.1560695]]"
