,feature_num,comb_num,feature_comb,r2,mae,mpea,timecost
180,4,52,"['date', 'CHN10', 'INDU', 'JIANZHU', 'SPOT', 'IRBOND']",-0.2989,0.1557,0.0505,2.9072
181,4,53,"['date', 'CHN10', 'INDU', 'XINJIAN', 'ERSHOU', 'SPOT']",-35.6684,0.587,0.1883,3.5647
182,4,54,"['date', 'CHN10', 'INDU', 'XINJIAN', 'ERSHOU', 'IRBOND']",-0.3875,0.1563,0.0505,3.55
183,4,55,"['date', 'CHN10', 'INDU', 'XINJIAN', 'SPOT', 'IRBOND']",-0.8593,0.1795,0.0577,3.5127
184,4,56,"['date', 'CHN10', 'INDU', 'ERSHOU', 'SPOT', 'IRBOND']",-0.3381,0.1549,0.05,3.2589
185,4,57,"['date', 'CHN10', 'PPI', 'PMI', 'OECD', 'JIANZHU']",-6.6273,0.4344,0.1492,3.3192
186,4,58,"['date', 'CHN10', 'PPI', 'PMI', 'OECD', 'XINJIAN']",-15.6681,0.6292,0.2168,3.2625
187,4,59,"['date', 'CHN10', 'PPI', 'PMI', 'OECD', 'ERSHOU']",-13.1477,0.6227,0.2122,3.4539
188,4,60,"['date', 'CHN10', 'PPI', 'PMI', 'OECD', 'SPOT']",-17.9704,0.6762,0.2325,3.6948
189,4,61,"['date', 'CHN10', 'PPI', 'PMI', 'OECD', 'IRBOND']",-0.0517,0.1502,0.0495,3.2614
190,4,62,"['date', 'CHN10', 'PPI', 'PMI', 'JIANZHU', 'XINJIAN']",-3.8044,0.3499,0.1192,3.3381
191,4,63,"['date', 'CHN10', 'PPI', 'PMI', 'JIANZHU', 'ERSHOU']",-27.7283,0.8252,0.2844,3.2922
192,4,64,"['date', 'CHN10', 'PPI', 'PMI', 'JIANZHU', 'SPOT']",-19.7373,0.7256,0.2485,2.7205
193,4,65,"['date', 'CHN10', 'PPI', 'PMI', 'JIANZHU', 'IRBOND']",-0.007,0.1525,0.0506,2.7751
194,4,66,"['date', 'CHN10', 'PPI', 'PMI', 'XINJIAN', 'ERSHOU']",-8.1184,0.4762,0.1634,2.6916
195,4,67,"['date', 'CHN10', 'PPI', 'PMI', 'XINJIAN', 'SPOT']",-38.7996,1.0095,0.3444,2.808
196,4,68,"['date', 'CHN10', 'PPI', 'PMI', 'XINJIAN', 'IRBOND']",-0.1266,0.1517,0.0496,3.2412
197,4,69,"['date', 'CHN10', 'PPI', 'PMI', 'ERSHOU', 'SPOT']",-18.2199,0.7155,0.2445,3.2773
198,4,70,"['date', 'CHN10', 'PPI', 'PMI', 'ERSHOU', 'IRBOND']",-2.3628,0.2754,0.0954,3.2667
199,4,71,"['date', 'CHN10', 'PPI', 'PMI', 'SPOT', 'IRBOND']",-0.4768,0.1612,0.053,3.4633
200,4,72,"['date', 'CHN10', 'PPI', 'OECD', 'JIANZHU', 'XINJIAN']",-5.1047,0.3942,0.1349,3.4774
201,4,73,"['date', 'CHN10', 'PPI', 'OECD', 'JIANZHU', 'ERSHOU']",-15.6932,0.6327,0.2179,3.261
202,4,74,"['date', 'CHN10', 'PPI', 'OECD', 'JIANZHU', 'SPOT']",-21.993,0.7502,0.2577,3.4803
203,4,75,"['date', 'CHN10', 'PPI', 'OECD', 'JIANZHU', 'IRBOND']",-8.0561,0.4773,0.1632,3.4084
204,4,76,"['date', 'CHN10', 'PPI', 'OECD', 'XINJIAN', 'ERSHOU']",-1.2066,0.23,0.0778,3.3264
205,4,77,"['date', 'CHN10', 'PPI', 'OECD', 'XINJIAN', 'SPOT']",-27.0336,0.8464,0.2903,3.2796
206,4,78,"['date', 'CHN10', 'PPI', 'OECD', 'XINJIAN', 'IRBOND']",-1.8066,0.2638,0.0898,2.8109
207,4,79,"['date', 'CHN10', 'PPI', 'OECD', 'ERSHOU', 'SPOT']",-24.6044,0.8253,0.281,2.8823
208,4,80,"['date', 'CHN10', 'PPI', 'OECD', 'ERSHOU', 'IRBOND']",-1.5809,0.2185,0.0705,2.7889
209,4,81,"['date', 'CHN10', 'PPI', 'OECD', 'SPOT', 'IRBOND']",-0.075,0.161,0.0538,2.7638
210,4,82,"['date', 'CHN10', 'PPI', 'JIANZHU', 'XINJIAN', 'ERSHOU']",-13.582,0.5965,0.2051,2.8002
211,4,83,"['date', 'CHN10', 'PPI', 'JIANZHU', 'XINJIAN', 'SPOT']",-22.2686,0.7661,0.2628,3.4205
212,4,84,"['date', 'CHN10', 'PPI', 'JIANZHU', 'XINJIAN', 'IRBOND']",-1.1829,0.1975,0.0635,3.422
213,4,85,"['date', 'CHN10', 'PPI', 'JIANZHU', 'ERSHOU', 'SPOT']",-14.9039,0.654,0.2231,3.3324
214,4,86,"['date', 'CHN10', 'PPI', 'JIANZHU', 'ERSHOU', 'IRBOND']",0.0067,0.1517,0.0505,3.3405
215,4,87,"['date', 'CHN10', 'PPI', 'JIANZHU', 'SPOT', 'IRBOND']",-0.0738,0.1585,0.0531,3.3017
216,4,88,"['date', 'CHN10', 'PPI', 'XINJIAN', 'ERSHOU', 'SPOT']",-13.7851,0.6055,0.2036,3.3519
217,4,89,"['date', 'CHN10', 'PPI', 'XINJIAN', 'ERSHOU', 'IRBOND']",-0.2871,0.1767,0.0589,3.4501
218,4,90,"['date', 'CHN10', 'PPI', 'XINJIAN', 'SPOT', 'IRBOND']",-3.0951,0.293,0.102,3.2777
219,4,91,"['date', 'CHN10', 'PPI', 'ERSHOU', 'SPOT', 'IRBOND']",-0.6074,0.196,0.0651,3.2151
220,4,92,"['date', 'CHN10', 'PMI', 'OECD', 'JIANZHU', 'XINJIAN']",-6.9866,0.4634,0.158,2.7696
221,4,93,"['date', 'CHN10', 'PMI', 'OECD', 'JIANZHU', 'ERSHOU']",-1.0442,0.2272,0.0776,2.8243
222,4,94,"['date', 'CHN10', 'PMI', 'OECD', 'JIANZHU', 'SPOT']",-4.5524,0.3613,0.1216,2.7851
223,4,95,"['date', 'CHN10', 'PMI', 'OECD', 'JIANZHU', 'IRBOND']",-1.0034,0.1887,0.0607,2.8785
224,4,96,"['date', 'CHN10', 'PMI', 'OECD', 'XINJIAN', 'ERSHOU']",-1.1689,0.2406,0.082,2.8253
225,4,97,"['date', 'CHN10', 'PMI', 'OECD', 'XINJIAN', 'SPOT']",-8.3272,0.4895,0.1665,2.8217
226,4,98,"['date', 'CHN10', 'PMI', 'OECD', 'XINJIAN', 'IRBOND']",-0.6447,0.1685,0.0542,2.782
227,4,99,"['date', 'CHN10', 'PMI', 'OECD', 'ERSHOU', 'SPOT']",-0.1046,0.1519,0.0501,2.8228
228,4,100,"['date', 'CHN10', 'PMI', 'OECD', 'ERSHOU', 'IRBOND']",-1.3557,0.2312,0.0761,2.8856
229,4,101,"['date', 'CHN10', 'PMI', 'OECD', 'SPOT', 'IRBOND']",-1.1337,0.1949,0.0626,2.709
230,4,102,"['date', 'CHN10', 'PMI', 'JIANZHU', 'XINJIAN', 'ERSHOU']",-1.5474,0.2437,0.0838,2.7851
231,4,103,"['date', 'CHN10', 'PMI', 'JIANZHU', 'XINJIAN', 'SPOT']",-12.9724,0.5932,0.2036,2.7629
