,feature_num,comb_num,feature_comb,r2,mae,mpea,timecost
158,4,30,"['date', 'CHN10', 'INDU', 'PMI', 'JIANZHU', 'IRBOND']",,,,
159,4,31,"['date', 'CHN10', 'INDU', 'PMI', 'XINJIAN', 'ERSHOU']",,,,
160,4,32,"['date', 'CHN10', 'INDU', 'PMI', 'XINJIAN', 'SPOT']",,,,
161,4,33,"['date', 'CHN10', 'INDU', 'PMI', 'XINJIAN', 'IRBOND']",,,,
162,4,34,"['date', 'CHN10', 'INDU', 'PMI', 'ERSHOU', 'SPOT']",,,,
163,4,35,"['date', 'CHN10', 'INDU', 'PMI', 'ERSHOU', 'IRBOND']",,,,
164,4,36,"['date', 'CHN10', 'INDU', 'PMI', 'SPOT', 'IRBOND']",,,,
165,4,37,"['date', 'CHN10', 'INDU', 'OECD', 'JIANZHU', 'XINJIAN']",,,,
166,4,38,"['date', 'CHN10', 'INDU', 'OECD', 'JIANZHU', 'ERSHOU']",,,,
167,4,39,"['date', 'CHN10', 'INDU', 'OECD', 'JIANZHU', 'SPOT']",,,,
168,4,40,"['date', 'CHN10', 'INDU', 'OECD', 'JIANZHU', 'IRBOND']",,,,
169,4,41,"['date', 'CHN10', 'INDU', 'OECD', 'XINJIAN', 'ERSHOU']",,,,
170,4,42,"['date', 'CHN10', 'INDU', 'OECD', 'XINJIAN', 'SPOT']",,,,
171,4,43,"['date', 'CHN10', 'INDU', 'OECD', 'XINJIAN', 'IRBOND']",,,,
172,4,44,"['date', 'CHN10', 'INDU', 'OECD', 'ERSHOU', 'SPOT']",,,,
173,4,45,"['date', 'CHN10', 'INDU', 'OECD', 'ERSHOU', 'IRBOND']",,,,
174,4,46,"['date', 'CHN10', 'INDU', 'OECD', 'SPOT', 'IRBOND']",,,,
175,4,47,"['date', 'CHN10', 'INDU', 'JIANZHU', 'XINJIAN', 'ERSHOU']",,,,
176,4,48,"['date', 'CHN10', 'INDU', 'JIANZHU', 'XINJIAN', 'SPOT']",,,,
177,4,49,"['date', 'CHN10', 'INDU', 'JIANZHU', 'XINJIAN', 'IRBOND']",,,,
178,4,50,"['date', 'CHN10', 'INDU', 'JIANZHU', 'ERSHOU', 'SPOT']",,,,
179,4,51,"['date', 'CHN10', 'INDU', 'JIANZHU', 'ERSHOU', 'IRBOND']",,,,
180,4,52,"['date', 'CHN10', 'INDU', 'JIANZHU', 'SPOT', 'IRBOND']",,,,
181,4,53,"['date', 'CHN10', 'INDU', 'XINJIAN', 'ERSHOU', 'SPOT']",,,,
182,4,54,"['date', 'CHN10', 'INDU', 'XINJIAN', 'ERSHOU', 'IRBOND']",,,,
183,4,55,"['date', 'CHN10', 'INDU', 'XINJIAN', 'SPOT', 'IRBOND']",,,,
184,4,56,"['date', 'CHN10', 'INDU', 'ERSHOU', 'SPOT', 'IRBOND']",,,,
185,4,57,"['date', 'CHN10', 'PPI', 'PMI', 'OECD', 'JIANZHU']",,,,
186,4,58,"['date', 'CHN10', 'PPI', 'PMI', 'OECD', 'XINJIAN']",,,,
187,4,59,"['date', 'CHN10', 'PPI', 'PMI', 'OECD', 'ERSHOU']",,,,
188,4,60,"['date', 'CHN10', 'PPI', 'PMI', 'OECD', 'SPOT']",,,,
189,4,61,"['date', 'CHN10', 'PPI', 'PMI', 'OECD', 'IRBOND']",,,,
190,4,62,"['date', 'CHN10', 'PPI', 'PMI', 'JIANZHU', 'XINJIAN']",,,,
191,4,63,"['date', 'CHN10', 'PPI', 'PMI', 'JIANZHU', 'ERSHOU']",,,,
192,4,64,"['date', 'CHN10', 'PPI', 'PMI', 'JIANZHU', 'SPOT']",,,,
193,4,65,"['date', 'CHN10', 'PPI', 'PMI', 'JIANZHU', 'IRBOND']",,,,
194,4,66,"['date', 'CHN10', 'PPI', 'PMI', 'XINJIAN', 'ERSHOU']",,,,
195,4,67,"['date', 'CHN10', 'PPI', 'PMI', 'XINJIAN', 'SPOT']",,,,
196,4,68,"['date', 'CHN10', 'PPI', 'PMI', 'XINJIAN', 'IRBOND']",,,,
197,4,69,"['date', 'CHN10', 'PPI', 'PMI', 'ERSHOU', 'SPOT']",,,,
198,4,70,"['date', 'CHN10', 'PPI', 'PMI', 'ERSHOU', 'IRBOND']",,,,
199,4,71,"['date', 'CHN10', 'PPI', 'PMI', 'SPOT', 'IRBOND']",,,,
200,4,72,"['date', 'CHN10', 'PPI', 'OECD', 'JIANZHU', 'XINJIAN']",,,,
201,4,73,"['date', 'CHN10', 'PPI', 'OECD', 'JIANZHU', 'ERSHOU']",,,,
202,4,74,"['date', 'CHN10', 'PPI', 'OECD', 'JIANZHU', 'SPOT']",,,,
203,4,75,"['date', 'CHN10', 'PPI', 'OECD', 'JIANZHU', 'IRBOND']",,,,
204,4,76,"['date', 'CHN10', 'PPI', 'OECD', 'XINJIAN', 'ERSHOU']",,,,
205,4,77,"['date', 'CHN10', 'PPI', 'OECD', 'XINJIAN', 'SPOT']",,,,
206,4,78,"['date', 'CHN10', 'PPI', 'OECD', 'XINJIAN', 'IRBOND']",,,,
207,4,79,"['date', 'CHN10', 'PPI', 'OECD', 'ERSHOU', 'SPOT']",,,,
208,4,80,"['date', 'CHN10', 'PPI', 'OECD', 'ERSHOU', 'IRBOND']",,,,
209,4,81,"['date', 'CHN10', 'PPI', 'OECD', 'SPOT', 'IRBOND']",,,,
210,4,82,"['date', 'CHN10', 'PPI', 'JIANZHU', 'XINJIAN', 'ERSHOU']",,,,
211,4,83,"['date', 'CHN10', 'PPI', 'JIANZHU', 'XINJIAN', 'SPOT']",,,,
212,4,84,"['date', 'CHN10', 'PPI', 'JIANZHU', 'XINJIAN', 'IRBOND']",,,,
213,4,85,"['date', 'CHN10', 'PPI', 'JIANZHU', 'ERSHOU', 'SPOT']",,,,
214,4,86,"['date', 'CHN10', 'PPI', 'JIANZHU', 'ERSHOU', 'IRBOND']",,,,
215,4,87,"['date', 'CHN10', 'PPI', 'JIANZHU', 'SPOT', 'IRBOND']",,,,
216,4,88,"['date', 'CHN10', 'PPI', 'XINJIAN', 'ERSHOU', 'SPOT']",,,,
217,4,89,"['date', 'CHN10', 'PPI', 'XINJIAN', 'ERSHOU', 'IRBOND']",,,,
218,4,90,"['date', 'CHN10', 'PPI', 'XINJIAN', 'SPOT', 'IRBOND']",,,,
219,4,91,"['date', 'CHN10', 'PPI', 'ERSHOU', 'SPOT', 'IRBOND']",,,,
220,4,92,"['date', 'CHN10', 'PMI', 'OECD', 'JIANZHU', 'XINJIAN']",,,,
221,4,93,"['date', 'CHN10', 'PMI', 'OECD', 'JIANZHU', 'ERSHOU']",,,,
222,4,94,"['date', 'CHN10', 'PMI', 'OECD', 'JIANZHU', 'SPOT']",,,,
223,4,95,"['date', 'CHN10', 'PMI', 'OECD', 'JIANZHU', 'IRBOND']",,,,
224,4,96,"['date', 'CHN10', 'PMI', 'OECD', 'XINJIAN', 'ERSHOU']",,,,
225,4,97,"['date', 'CHN10', 'PMI', 'OECD', 'XINJIAN', 'SPOT']",,,,
226,4,98,"['date', 'CHN10', 'PMI', 'OECD', 'XINJIAN', 'IRBOND']",,,,
